Station,Annual,Spring,Summer,Autumn,Winter
Novolazarevskya,?10.1,?11.7,?1.6,?10.9,?16.3
Syowa,?10.5,?12.8,?1.7,?10.0,?17.3
Mawson,?11.3,?12.0,?1.7,?13.8,?17.7
Davis,?10.1,?10.9,?0.4,?12.2,?16.7
Mirny,?11.3,?12.2,?3.3,?13.2,?16.2
Vostok,?55.3,?55.2,?35.8,?62.9,?66.9
Casey,?9.1,?10.2,?1.3,?10.8,?14.2
Dumont d'Urville,?10.8,?11.8,?2.2,?12.8,?16.3
Scott Base,?19.6,?19.9,?6.9,?23.5,?28.2
Rothera,?4.1,?5.1,0.9,?2.8,?9.3
Vernadsky,?2.9,?4.1,0.8,?1.7,?6.3
Bellingshausen,?2.1,?2.6,1.3,?1.5,?5.6
Esperanza,?4.6,?4.0,1,?5.5,?10.0
Marambio,?8.1,?7.0,?1.4,?9.8,?14.2
Orcadas,?3.1,?3.0,1.1,?1.9,?8.3
Neumayer,?16.0,?17.2,?5.6,?16.9,?23.9
Amundsen-Scott,?49.5,?49.7,?32.3,?56.5,?59.2
